date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:44:26	38954/38954	---MCZ	200	added ('OK')	text/html	date:Wed,%2015%20Jan%202020%2009:14:25%20GMT	https://p.w3layouts.com/demos/marital/web/inbox.html	template/matrimonial/p.w3layouts.com/demos/marital/web/inbox.html	(from https://p.w3layouts.com/demos/marital/web/index.html)
14:44:29	44211/44211	---MCZ	200	added ('OK')	text/html	date:Wed,%2015%20Jan%202020%2009:14:27%20GMT	https://p.w3layouts.com/demos/marital/web/sent.html	template/matrimonial/p.w3layouts.com/demos/marital/web/sent.html	(from https://p.w3layouts.com/demos/marital/web/index.html)
14:44:31	19311/19311	---MCZ	200	added ('OK')	text/html	date:Wed,%2015%20Jan%202020%2009:14:29%20GMT	https://p.w3layouts.com/demos/marital/web/upgrade.html	template/matrimonial/p.w3layouts.com/demos/marital/web/upgrade.html	(from https://p.w3layouts.com/demos/marital/web/index.html)
14:44:33	14076/14076	---MCZ	200	added ('OK')	text/html	date:Wed,%2015%20Jan%202020%2009:14:31%20GMT	https://p.w3layouts.com/demos/marital/web/contact.html	template/matrimonial/p.w3layouts.com/demos/marital/web/contact.html	(from https://p.w3layouts.com/demos/marital/web/index.html)
14:44:35	28608/28608	---MCZ	200	added ('OK')	text/html	date:Wed,%2015%20Jan%202020%2009:14:33%20GMT	https://p.w3layouts.com/demos/marital/web/view_profile.html	template/matrimonial/p.w3layouts.com/demos/marital/web/view_profile.html	(from https://p.w3layouts.com/demos/marital/web/index.html)
14:44:36	9834/9834	---M--	200	added ('OK')	image/jpeg	date:Thu,%2014%20Nov%202019%2018:11:58%20GMT	https://p.w3layouts.com/demos/marital/web/images/1.jpg	template/matrimonial/p.w3layouts.com/demos/marital/web/images/1.jpg	(from https://p.w3layouts.com/demos/marital/web/index.html)
14:44:37	8378/8378	---M--	200	added ('OK')	image/jpeg	date:Thu,%2014%20Nov%202019%2018:11:58%20GMT	https://p.w3layouts.com/demos/marital/web/images/2.jpg	template/matrimonial/p.w3layouts.com/demos/marital/web/images/2.jpg	(from https://p.w3layouts.com/demos/marital/web/index.html)
14:44:37	11948/11948	---M--	200	added ('OK')	image/jpeg	date:Thu,%2014%20Nov%202019%2018:11:58%20GMT	https://p.w3layouts.com/demos/marital/web/images/3.jpg	template/matrimonial/p.w3layouts.com/demos/marital/web/images/3.jpg	(from https://p.w3layouts.com/demos/marital/web/index.html)
14:44:38	13546/13546	---M--	200	added ('OK')	image/jpeg	date:Thu,%2014%20Nov%202019%2018:11:57%20GMT	https://p.w3layouts.com/demos/marital/web/images/4.jpg	template/matrimonial/p.w3layouts.com/demos/marital/web/images/4.jpg	(from https://p.w3layouts.com/demos/marital/web/index.html)
14:44:39	14707/14707	---M--	200	added ('OK')	image/jpeg	date:Thu,%2014%20Nov%202019%2018:11:58%20GMT	https://p.w3layouts.com/demos/marital/web/images/5.jpg	template/matrimonial/p.w3layouts.com/demos/marital/web/images/5.jpg	(from https://p.w3layouts.com/demos/marital/web/index.html)
14:44:40	12297/12297	---M--	200	added ('OK')	image/jpeg	date:Thu,%2014%20Nov%202019%2018:11:57%20GMT	https://p.w3layouts.com/demos/marital/web/images/6.jpg	template/matrimonial/p.w3layouts.com/demos/marital/web/images/6.jpg	(from https://p.w3layouts.com/demos/marital/web/index.html)
14:44:42	8129/8129	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2019%20Sep%202017%2018:58:24%20GMT	https://p.w3layouts.com/demos/marital/web/js/jquery.flexisel.js	template/matrimonial/p.w3layouts.com/demos/marital/web/js/jquery.flexisel.js	(from https://p.w3layouts.com/demos/marital/web/index.html)
14:44:42	4038/4038	---M--	200	added ('OK')	image/jpeg	date:Thu,%2014%20Nov%202019%2018:11:57%20GMT	https://p.w3layouts.com/demos/marital/web/images/7.jpg	template/matrimonial/p.w3layouts.com/demos/marital/web/images/7.jpg	(from https://p.w3layouts.com/demos/marital/web/index.html)
14:44:43	4324/4324	---M--	200	added ('OK')	image/jpeg	date:Thu,%2014%20Nov%202019%2018:11:58%20GMT	https://p.w3layouts.com/demos/marital/web/images/8.jpg	template/matrimonial/p.w3layouts.com/demos/marital/web/images/8.jpg	(from https://p.w3layouts.com/demos/marital/web/index.html)
14:44:44	5117/5117	---M--	200	added ('OK')	image/jpeg	date:Thu,%2014%20Nov%202019%2018:11:58%20GMT	https://p.w3layouts.com/demos/marital/web/images/9.jpg	template/matrimonial/p.w3layouts.com/demos/marital/web/images/9.jpg	(from https://p.w3layouts.com/demos/marital/web/index.html)
14:44:45	3761/3761	---M--	200	added ('OK')	image/jpeg	date:Thu,%2014%20Nov%202019%2018:11:58%20GMT	https://p.w3layouts.com/demos/marital/web/images/10.jpg	template/matrimonial/p.w3layouts.com/demos/marital/web/images/10.jpg	(from https://p.w3layouts.com/demos/marital/web/index.html)
14:44:46	4068/4068	---M--	200	added ('OK')	image/jpeg	date:Thu,%2014%20Nov%202019%2018:11:57%20GMT	https://p.w3layouts.com/demos/marital/web/images/11.jpg	template/matrimonial/p.w3layouts.com/demos/marital/web/images/11.jpg	(from https://p.w3layouts.com/demos/marital/web/index.html)
14:44:47	4303/4303	---M--	200	added ('OK')	image/jpeg	date:Thu,%2014%20Nov%202019%2018:11:58%20GMT	https://p.w3layouts.com/demos/marital/web/images/12.jpg	template/matrimonial/p.w3layouts.com/demos/marital/web/images/12.jpg	(from https://p.w3layouts.com/demos/marital/web/index.html)
14:44:48	4961/4961	---M--	200	added ('OK')	image/jpeg	date:Thu,%2014%20Nov%202019%2018:11:57%20GMT	https://p.w3layouts.com/demos/marital/web/images/13.jpg	template/matrimonial/p.w3layouts.com/demos/marital/web/images/13.jpg	(from https://p.w3layouts.com/demos/marital/web/index.html)
14:44:49	2981/2981	---M--	200	added ('OK')	image/jpeg	date:Thu,%2014%20Nov%202019%2018:11:58%20GMT	https://p.w3layouts.com/demos/marital/web/images/14.jpg	template/matrimonial/p.w3layouts.com/demos/marital/web/images/14.jpg	(from https://p.w3layouts.com/demos/marital/web/index.html)
14:44:50	3444/3444	---M--	200	added ('OK')	image/jpeg	date:Thu,%2014%20Nov%202019%2018:11:57%20GMT	https://p.w3layouts.com/demos/marital/web/images/15.jpg	template/matrimonial/p.w3layouts.com/demos/marital/web/images/15.jpg	(from https://p.w3layouts.com/demos/marital/web/index.html)
14:44:53	16478/16478	---MCZ	200	added ('OK')	text/html	date:Wed,%2015%20Jan%202020%2009:14:51%20GMT	https://p.w3layouts.com/demos/marital/web/privacy.html	template/matrimonial/p.w3layouts.com/demos/marital/web/privacy.html	(from https://p.w3layouts.com/demos/marital/web/index.html)
14:44:55	16481/16481	---MCZ	200	added ('OK')	text/html	date:Wed,%2015%20Jan%202020%2009:14:53%20GMT	https://p.w3layouts.com/demos/marital/web/terms.html	template/matrimonial/p.w3layouts.com/demos/marital/web/terms.html	(from https://p.w3layouts.com/demos/marital/web/index.html)
14:44:57	19434/19434	---MCZ	200	added ('OK')	text/html	date:Wed,%2015%20Jan%202020%2009:14:55%20GMT	https://p.w3layouts.com/demos/marital/web/services.html	template/matrimonial/p.w3layouts.com/demos/marital/web/services.html	(from https://p.w3layouts.com/demos/marital/web/index.html)
14:44:57	2529/2529	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2015%20Jan%202020%2009:14:56%20GMT	https://p.w3layouts.com/demos/marital/web/fonts/glyphicons-halflings-regular.eot	template/matrimonial/p.w3layouts.com/demos/marital/web/fonts/glyphicons-halflings-regular.eot	(from https://p.w3layouts.com/demos/marital/web/css/bootstrap-3.1.1.min.css)
